C,H,N,O,S,fragmentType
NA,3,1.0,NA,NA,c0
5.0,12,2.0,1.0,1.0,c1
10.0,20,4.0,3.0,1.0,c2
16.0,31,5.0,4.0,1.0,c3
25.0,40,6.0,5.0,1.0,c4
30.0,49,7.0,6.0,1.0,c5
36.0,61,9.0,7.0,1.0,c6
40.0,68,10.0,9.0,1.0,c7
46.0,79,11.0,10.0,1.0,c8
50.0,86,12.0,12.0,1.0,c9
52.0,89,13.0,13.0,1.0,c10
58.0,101,15.0,14.0,1.0,c11
62.0,108,16.0,16.0,1.0,c12
68.0,119,17.0,17.0,1.0,c13
72.0,126,18.0,19.0,1.0,c14
78.0,137,19.0,20.0,1.0,c15
83.0,144,20.0,23.0,1.0,c16
88.0,153,21.0,24.0,1.0,c17
98.0,167,23.0,28.0,1.0,c19
101.0,172,24.0,30.0,1.0,c20
105.0,177,25.0,33.0,1.0,c21
109.0,184,26.0,35.0,1.0,c22
115.0,195,27.0,36.0,1.0,c23
120.0,202,28.0,39.0,1.0,c24
124.0,208,30.0,41.0,1.0,c25
129.0,217,31.0,42.0,1.0,c26
135.0,229,33.0,43.0,1.0,c27
138.0,234,34.0,44.0,1.0,c28
144.0,246,36.0,45.0,1.0,c29
150.0,257,37.0,46.0,1.0,c30
155.0,265,39.0,48.0,1.0,c31
159.0,270,40.0,51.0,1.0,c32
165.0,282,42.0,52.0,1.0,c33
170.0,289,43.0,55.0,1.0,c34
172.0,292,44.0,56.0,1.0,c35
188.0,317,47.0,59.0,1.0,c38
192.0,322,48.0,62.0,1.0,c39
197.0,330,50.0,64.0,1.0,c40
202.0,338,52.0,66.0,1.0,c41
208.0,350,56.0,67.0,1.0,c42
214.0,361,57.0,68.0,1.0,c43
220.0,372,58.0,69.0,1.0,c44
229.0,381,59.0,70.0,1.0,c45
232.0,386,60.0,71.0,1.0,c46
234.0,389,61.0,72.0,1.0,c47
240.0,401,63.0,73.0,1.0,c48
245.0,409,65.0,75.0,1.0,c49
251.0,420,66.0,76.0,1.0,c50
256.0,427,67.0,79.0,1.0,c51
260.0,432,68.0,82.0,1.0,c52
262.0,435,69.0,83.0,1.0,c53
268.0,447,73.0,84.0,1.0,c54
272.0,454,74.0,86.0,1.0,c55
278.0,465,75.0,87.0,1.0,c56
281.0,470,76.0,89.0,1.0,c57
285.0,475,77.0,92.0,1.0,c58
294.0,484,78.0,94.0,1.0,c59
298.0,490,80.0,96.0,1.0,c60
304.0,501,81.0,97.0,1.0,c61
309.0,509,83.0,99.0,1.0,c62
315.0,521,85.0,100.0,1.0,c63
320.0,528,86.0,103.0,1.0,c64
323.0,533,87.0,105.0,1.0,c65
327.0,540,88.0,107.0,1.0,c66
333.0,551,89.0,108.0,1.0,c67
339.0,558,92.0,109.0,1.0,c68
345.0,569,93.0,110.0,1.0,c69
350.0,578,94.0,111.0,1.0,c70
356.0,589,95.0,112.0,1.0,c71
362.0,601,99.0,113.0,1.0,c72
368.0,612,100.0,114.0,1.0,c73
374.0,624,104.0,115.0,1.0,c74
376.0,627,105.0,116.0,1.0,c75
378.0,629,105.0,118.0,1.0,precursor
2.0,3,NA,2.0,NA,z1
4.0,6,1.0,3.0,NA,z2
10.0,18,5.0,4.0,NA,z3
16.0,29,6.0,5.0,NA,z4
22.0,41,10.0,6.0,NA,z5
28.0,52,11.0,7.0,NA,z6
33.0,61,12.0,8.0,NA,z7
39.0,72,13.0,9.0,NA,z8
45.0,79,16.0,10.0,NA,z9
51.0,90,17.0,11.0,NA,z10
55.0,97,18.0,13.0,NA,z11
58.0,102,19.0,15.0,NA,z12
63.0,109,20.0,18.0,NA,z13
69.0,121,22.0,19.0,NA,z14
74.0,129,24.0,21.0,NA,z15
80.0,140,25.0,22.0,NA,z16
84.0,146,27.0,24.0,NA,z17
93.0,155,28.0,26.0,NA,z18
97.0,160,29.0,29.0,NA,z19
100.0,165,30.0,31.0,NA,z20
106.0,176,31.0,32.0,NA,z21
110.0,183,32.0,34.0,NA,z22
116.0,195,36.0,35.0,NA,z23
118.0,198,37.0,36.0,NA,z24
122.0,203,38.0,39.0,NA,z25
127.0,210,39.0,42.0,NA,z26
133.0,221,40.0,43.0,NA,z27
138.0,229,42.0,45.0,NA,z28
144.0,241,44.0,46.0,NA,z29
146.0,244,45.0,47.0,NA,z30
149.0,249,46.0,48.0,NA,z31
158.0,258,47.0,49.0,NA,z32
164.0,269,48.0,50.0,NA,z33
170.0,280,49.0,51.0,NA,z34
176.0,292,53.0,52.0,NA,z35
181.0,300,55.0,54.0,NA,z36
186.0,308,57.0,56.0,NA,z37
190.0,313,58.0,59.0,NA,z38
206.0,338,61.0,62.0,NA,z41
208.0,341,62.0,63.0,NA,z42
213.0,348,63.0,66.0,NA,z43
219.0,360,65.0,67.0,NA,z44
223.0,365,66.0,70.0,NA,z45
228.0,373,68.0,72.0,NA,z46
234.0,384,69.0,73.0,NA,z47
240.0,396,71.0,74.0,NA,z48
243.0,401,72.0,75.0,NA,z49
249.0,413,74.0,76.0,NA,z50
254.0,422,75.0,77.0,NA,z51
258.0,428,77.0,79.0,NA,z52
263.0,435,78.0,82.0,NA,z53
269.0,446,79.0,83.0,NA,z54
273.0,453,80.0,85.0,NA,z55
277.0,458,81.0,88.0,NA,z56
280.0,463,82.0,90.0,NA,z57
290.0,477,84.0,94.0,NA,z59
295.0,486,85.0,95.0,NA,z60
300.0,493,86.0,98.0,NA,z61
306.0,504,87.0,99.0,NA,z62
310.0,511,88.0,101.0,NA,z63
316.0,522,89.0,102.0,NA,z64
320.0,529,90.0,104.0,NA,z65
326.0,541,92.0,105.0,NA,z66
328.0,544,93.0,106.0,NA,z67
332.0,551,94.0,108.0,NA,z68
338.0,562,95.0,109.0,NA,z69
342.0,569,96.0,111.0,NA,z70
348.0,581,98.0,112.0,NA,z71
353.0,590,99.0,113.0,NA,z72
362.0,599,100.0,114.0,NA,z73
368.0,610,101.0,115.0,NA,z74
373.0,618,103.0,117.0,NA,z75
378.0,627,104.0,118.0,1.0,z76
