"","M","totInt","specNo"
"1",200,23677.21484375,"1"
"2",200.01,18726.2697753906,"83"
"3",200.06,20241.6015625,"156"
"4",200.07,20753.6613769531,"74"
"5",200.08,9299.45922851562,"74"
"6",200.15,3921.13818359375,"166"
"7",200.16,23154.1030273438,"166"
"8",200.18,0,"34"
"9",200.19,87288.1091308594,"34"
"10",200.2,0,"34"
"11",200.21,0,"107"
"12",200.22,67873.7153320312,"107"
"13",200.23,0,"107"
"14",200.25,0,"100"
"15",200.26,22500.7182617188,"100"
"16",200.27,0,"100"
"17",200.28,22505.3061523438,"174"
"18",200.29,0,"174"
"19",200.41,4307.029296875,"76"
"20",200.42,24118.1772460938,"76"
"21",200.43,18021.4655761719,"137"
"22",200.45,11883.3369140625,"46"
"23",200.46,7295.53515625,"46"
"24",200.47,23473.10546875,"116"
"25",200.48,0,"116"
"26",200.49,0,"48"
"27",200.5,25471.8103027344,"48"
"28",200.51,0,"48"
"29",200.52,0,"133"
"30",200.53,30096.1357421875,"133"
"31",200.54,0,"133"
"32",200.56,24056.5388183594,"74"
"33",200.57,0,"74"
"34",200.61,4608.10302734375,"63"
"35",200.62,26298.6123046875,"63"
"36",200.65,15526.3857421875,"81"
"37",200.66,9983.94091796875,"23"
"38",200.67,47975.2021484375,"23"
"39",200.68,0,"23"
"40",200.69,21450.2604980469,"168"
"41",200.7,4166.6474609375,"168"
"42",200.73,27877.291015625,"125"
"43",200.74,0,"125"
"44",200.75,6823.89624023438,"19"
"45",200.76,39171.2124023438,"19"
"46",200.77,4332.07421875,"41"
"47",200.78,35417.2026367188,"41"
"48",200.79,10223.3928222656,"41"
"49",200.8,46547.7775878906,"55"
"50",200.85,4298.6650390625,"128"
"51",200.86,21901.4833984375,"128"
"52",200.89,51974.9165039062,"110"
"53",200.9,0,"110"
"54",200.97,20115.322265625,"112"
"55",200.98,10338.4018554688,"112"
"56",201.1,0,"174"
"57",201.11,25874.0834960938,"174"
"58",201.12,3983.06884765625,"14"
"59",201.13,19190.7465820312,"14"
"60",201.14,0,"108"
"61",201.15,28456.39453125,"108"
"62",201.16,20598.2868652344,"108"
"63",201.17,44752.8835449219,"60"
"64",201.18,22925.1567382812,"60"
"65",201.19,25912.6469726562,"187"
"66",201.2,0,"187"
"67",201.24,0,"84"
